"TSF","vital_rate","value","sd"
0,"staySB",0.1,0.5
1,"staySB",0.05,0.5
2,"staySB",0.597826086956522,0.490603381663859
3,"staySB",0.8453125,0.361700727982736
4,"staySB",0.8453125,0.361700727982736
5,"staySB",0.8453125,0.361700727982736
0,"outSB",0.81,0.5
1,"outSB",0.0609452736318408,0.239378818340381
2,"outSB",0.0347003154574132,0.18311598162426
3,"outSB",0.0347003154574132,0.18311598162426
4,"outSB",0.0347003154574132,0.18311598162426
5,"outSB",0,0
0,"goCont",0,0
1,"goCont",0,0
2,"goCont",0.0261233864175041,0.0544162734251675
3,"goCont",0.0261233864175041,0.0544162734251675
4,"goCont",0.0261233864175041,0.0544162734251675
5,"goCont",0.01,0
