year;scot_tmin;scot_pop;helg_p_aprmay;SO;t_mjunmjul;pop_ad;fox;p_mjulmaug
1990;0.180291055;-1.639491719;0.083756445;0.502646361;-1.028477958;-2.20186633;-1.508545444;-0.510201442
1991;-0.154755876;-1.593122256;0.083756445;-0.843571719;-1.674686059;-1.826804206;-1.093213365;-1.327093011
1992;0.254408206;-1.454013868;-0.247009236;0.747413285;0.134696624;-0.684569558;-0.677881286;-0.500239349
1993;-0.341802314;-1.465606234;-0.798564607;-0.843571719;0.534170722;-0.087879816;-0.179482791;1.761155604
1994;-1.265344101;-1.332294028;-1.634595661;0.747413285;-0.734747003;-0.087879816;1.108046654;-0.081831473
1995;0.488216253;-0.920765046;1.662738339;0.257879438;-0.511511477;-0.139024651;2.644775346;-1.088002795
1996;-0.049542255;-0.630955904;2.389485435;0.380262899;-2.344392636;0.372423699;-1.508545444;-0.111717749
1997;-0.096303865;-0.329554396;1.138306175;0.992180209;0.064201194;0.378106459;-1.093213365;0.226993389
1998;1.739089306;-0.341146762;-1.601105528;0.502646361;-0.910985576;1.508975589;-0.677881286;-1.586107411
1999;0.418073839;-0.352739127;-0.068463414;0.380262899;-0.382269857;1.668092853;-0.677881286;0.037713635
2000;0.803857117;-0.202038373;0.239548027;2.093631366;-1.157719578;1.531706627;1.315712693;0.226993389
2001;-0.750966397;-0.236815471;-0.242775074;0.992180209;0.263938244;1.332810046;0.152782872;0.53581825
2002;-0.166446279;-0.265796385;0.748892272;-0.598804796;0.02895348;-0.156072929;1.606445149;2.279184404
2003;-0.540539154;0.134140232;-0.749872645;0.257879438;0.02895348;-0.582279888;-0.096416375;0.844643112
2004;-0.423635131;0.134140232;0.423828376;1.114563671;0.28743672;0.417885775;-0.137949583;1.83089025
2005;1.096117176;0.122547866;0.949746196;-0.354037872;1.544605208;-0.343603991;-1.093213365;-0.032021011
2006;-0.306731107;-0.225223105;-0.115805913;-0.965955181;1.062886441;-1.144873073;0.651181367;-0.749291657
2007;1.131188383;-0.097707082;1.0723197;1.359330594;0.957143298;-1.474473121;0.152782872;-0.819026303
2008;-0.131375072;0.365987545;-1.159647263;-0.354037872;-0.969731767;-0.940293733;-0.677881286;-0.121679842
2009;-0.891251225;0.470318837;0.353119324;0.380262899;-0.323523666;-0.258362599;-0.262549207;0.336576404
2010;-1.686198586;0.818089807;-0.327930892;-1.945022876;0.663412343;-0.281093637;-0.262549207;-0.898723042
2011;-2.235647497;1.165860778;1.406406185;-0.598804796;0.780904725;-0.184486726;-0.677881286;0.595590804
2012;1.774160513;0.934013464;-0.287493772;0.013112514;0.522421484;0.076920208;0.152782872;-1.028230241
2013;-1.627746574;0.597834859;-0.037980193;-0.354037872;0.886647868;-0.468624699;-0.262549207;1.940473265
2014;1.364996431;1.420892823;-1.339220998;-0.476421334;-0.863988623;0.525858205;1.398779109;-0.360770057
2015;0.160884987;1.328153898;-0.072016672;-0.843571719;1.062886441;0.88387205;0.152782872;-0.729367472
2016;1.01428436;1.757071428;-0.383581372;-2.679323647;2.143816356;1.168010022;0.98344703;-0.231262857
2017;0.242717804;1.838217988;-1.48583968;0.135495976;-0.065040426;0.997527239;0.568114951;-0.440466795
