"population","year","correction"
"SierraCarbonera","2011",NA
"Tarifa","2011",NA
"Vertedero","2011",0.106858554967218
"SierraPlata","2011",0.0633211346578667
"SierraRetinY4","2011",0.0326489037083775
"SierraCarboneraY5","2011",0.290659968530923
"SierraRetinY5","2011",0.470025919126747
"SierraCarbonera","2012",NA
"Tarifa","2012",NA
"Vertedero","2012",0.340125560773469
"SierraPlata","2012",0.15336953629805
"SierraRetinY4","2012",0.0220051448953088
"SierraCarboneraY5","2012",0.290659968530923
"SierraRetinY5","2012",0.470025919126747
"SierraCarbonera","2013",NA
"Tarifa","2013",NA
"Vertedero","2013",0.0335201651482995
"SierraPlata","2013",0.00914233966017989
"SierraRetinY4","2013",0
"SierraCarboneraY5","2013",0.0635217102319085
"SierraRetinY5","2013",0.470025919126747
"SierraCarbonera","2014",NA
"Tarifa","2014",NA
"Vertedero","2014",1
"SierraPlata","2014",0
"SierraRetinY4","2014",0
"SierraCarboneraY5","2014",0.0166207627135431
"SierraRetinY5","2014",0.470025919126747
"SierraCarbonera","2015",NA
"Tarifa","2015",NA
"Vertedero","2015",1
"SierraPlata","2015",0.0519559445491085
"SierraRetinY4","2015",0.108590469938201
"SierraCarboneraY5","2015",0.272434919185675
"SierraRetinY5","2015",0.259321030895897
"SierraCarbonera","2016",NA
"Tarifa","2016",NA
"Vertedero","2016",1
"SierraPlata","2016",0.157689800757707
"SierraRetinY4","2016",0.0326489037083775
"SierraCarboneraY5","2016",0.290659968530923
"SierraRetinY5","2016",0.470025919126747
"SierraCarbonera","2017",NA
"Tarifa","2017",NA
"Vertedero","2017",1
"SierraPlata","2017",0.0683583222540395
"SierraRetinY4","2017",0.0326489037083775
"SierraCarboneraY5","2017",0.135841620933336
"SierraRetinY5","2017",0.0860646247703357
"SierraCarbonera","2018",NA
"Tarifa","2018",NA
"Vertedero","2018",1
"SierraPlata","2018",0.937076452135227
"SierraRetinY4","2018",0.0326489037083775
"SierraCarboneraY5","2018",0.144653449136082
"SierraRetinY5","2018",0.860043099543766
"SierraCarbonera","2019",NA
"Tarifa","2019",NA
"Vertedero","2019",1
"SierraPlata","2019",0.321751155888907
"SierraRetinY4","2019",0.0326489037083775
"SierraCarboneraY5","2019",0.0804909795751773
"SierraRetinY5","2019",1
"SierraCarbonera","2020",NA
"Tarifa","2020",NA
"Vertedero","2020",1
"SierraPlata","2020",0
"SierraRetinY4","2020",0.0326489037083775
"SierraCarboneraY5","2020",1
"SierraRetinY5","2020",0.584746615429486
"SierraCarbonera","2021",NA
"Tarifa","2021",NA
"Vertedero","2021",0.448456619159633
"SierraPlata","2021",0.1296129228914
"SierraRetinY4","2021",0.0326489037083775
"SierraCarboneraY5","2021",0.290659968530923
"SierraRetinY5","2021",0.0446213028489238
"SierraCarbonera","2022",NA
"Tarifa","2022",NA
"Vertedero","2022",0
"SierraPlata","2022",0
"SierraRetinY4","2022",0.0326489037083775
"SierraCarboneraY5","2022",0
"SierraRetinY5","2022",0
