"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","gen.time","n.vr","n.pam","dens","biotic_interactions"
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0782726217973111,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.124094046614087,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.160470268923751,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.167060318451149,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0667321962748937,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.141394490606973,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0327793806063588,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0915949665945503,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.105036357765623,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.111946336512098,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0476649639038292,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.119812558260799,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0709534857014783,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0309147009687746,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0499957089993643,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.106352478662278,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0985891842014763,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0344400362381723,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.105129012866702,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","rain","C","all","all",0.0621714457652959,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.193385165075751,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.182786399498832,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.158498567927115,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.151813914492948,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.174348758667495,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.175392183543467,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.0961517483328203,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.13230364133462,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.176942300404804,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.155568544747152,0,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.0734361578010611,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.0808958948105164,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.0269073444909858,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.0661371744282978,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.0200813593429467,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.127030909971486,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.0893934022729635,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.0785259260244661,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.0785419895950608,1,1,5,156,1,0
"Conquet et al. in prep",2024,"Plants","Drosophyllum lusitanicum","Europe","temperature","C","all","all",0.0355783601870686,1,1,5,156,1,0
